parent_image_id,parent_filename,child_cropped_id,child_filename,display_title,corpus_layer,source_type,Author,motif_specific,motif_group,object_type,place_of_origin,iconclass_code,year,Link
BOOK_017,The prehistoric tombs of Knossos-167,BOOK_017_CROP_01,BOOK_017_spiral_wave_01.jpg,"Spiral motif — The Prehistoric Tombs of Knossos, p. 167",publication,"Arthur Evans, The prehistoric tombs of Knossos",,spiral,geometric,book_illustration,Knossos,48A98133,1906,https://archive.org/details/prehistorictombs00evan/page/141/mode/1up
BOOK_029,"Archaeology Of Crete Introduction by Pendlebury, J.d.s-240.tiff",BOOK_029_CROP_04,BOOK_029_spiral_04.jpg,"Spiral motif — J. D. S. Pendlebury, Archaeology of Crete: An Introduction, p. 240",publication,"Archaeology Of Crete. Introduction, J.d.s. Pendlebury ",,spiral,geometric,book_illustration,Crete,48A98133,1939,https://archive.org/details/in.ernet.dli.2015.529784/page/n240/mode/1up
BOOK_029,"Archaeology Of Crete Introduction by Pendlebury, J.d.s-240.tiff",BOOK_029_CROP_05,BOOK_029_spiral_05.jpg,"Spiral motif — J. D. S. Pendlebury, Archaeology of Crete: An Introduction, p. 240",publication,"Archaeology Of Crete. Introduction, J.d.s. Pendlebury ",,spiral,geometric,book_illustration,Crete,48A98133,1939,https://archive.org/details/in.ernet.dli.2015.529784/page/n240/mode/1up
BOOK_040,"epublished in Evans 1921-3 vol. 1, p. 185, fig. 134b; Evans 1921–35, vol. 2, p. 241, fig. 121a.png",BOOK_040_CROP_01,BOOK_040_spiral_wave_01.jpg,"Spiral motif — Illustration reproduced in Evans, The Palace of Minos",publication,"Arthur Evans, Place of Minos at Knossos vol.1",,spiral,geometric,book_illustration,,48A98133,1921,https://archive.org/details/in.gov.ignca.6667/page/185/mode/1up
BAK_DRESS_015,Bakst Faun.jpg,BAK_DRESS_015_CROP_01,BAK_DRESS_015_wave_01.jpg,Spiral motif — Costume design for L’Après-midi d’un faune by Léon Bakst,reception,Wikimedia Commons,Léon Bakst,spiral,geometric,costume_design,France\Russia,48A98133,1912,https://commons.wikimedia.org/wiki/File:Bakst_Faun.jpg
BAK_DRESS_006,B_L'après-midi d'un faune by L.Bakst 02.jpg,BAK_DRESS_006_CROP_01,BAK_DRESS_006_spiral_01.jpg,Spiral motif — Costume design for L’Après-midi d’un faune by Léon Bakst,reception,Wikimedia Commons,Léon Bakst,spiral,geometric,costume_design,France\Russia,48A98133,1912,https://commons.wikimedia.org/wiki/File:L%27apr%C3%A8s-midi_d%27un_faune_by_L.Bakst_02.jpg
BAK_DRESS_009,B_L'après-midi d'un faune by L.Bakst 04.jpg,BAK_DRESS_009_CROP_02,BAK_DRESS_009_wave_02.jpg,Spiral motif — Costume design for L’Après-midi d’un faune by Léon Bakst,reception,Wikimedia Commons,Léon Bakst,spiral,geometric,costume_design,France\Russia,48A98133,1912,https://commons.wikimedia.org/wiki/File:L%27apr%C3%A8s-midi_d%27un_faune_by_L.Bakst_04.jpg
BAK_DRESS_011,B_Phaedra (Bakst) 14.jpg,BAK_DRESS_011_CROP_01,BAK_DRESS_011_spiral_01.jpg,Spiral motif — Costume design for Phèdre by Léon Bakst,reception,Wikimedia Commons,Léon Bakst,spiral,geometric,costume_design,France\Russia,48A98133,1923,https://commons.wikimedia.org/wiki/File:Phaedra_(Bakst)_14.jpg
FAS_DRESS_012,Figure 23 Dress inspired by the Thera frescoes created by Karl Lagerfeld for the Chloé spring-summer 1994 collection (photo courtesy of Chloé) aegom p57.png,FAS_DRESS_012_CROP_01,FAS_DRESS_012_spiral_01.jpg,"Spiral group motif — Dress inspired by the Thera frescoes, Chloé Spring–Summer 1994",reception,Chloé SS1994,Karl Lagerfeld / Chloé SS1994,spiral_group,geometric,dress,"Paris, France",48A98133,1994,https://www.1stdibs.com/fashion/clothing/evening-dresses/1970s-chloe-hand-painted-maxi-dress-runway-worn/id-v_1397273/?utm_source=Pinterest&utm_medium=organic&epik=dj0yJnU9ZTUwZG9xTjJTblVITjk0ZVU3THdsdVViaERYQ01vc00mcD0wJm49dmxRcWtzYWJsSllpaDI1ei1CMWEzQSZ0PUFBQUFBR3FGa0FB
FAS_DRESS_015,Karl -3 screeshot from video (dress).png,FAS_DRESS_015_CROP_01,FAS_DRESS_015_spiral_01.jpg,Spiral group motif — Dress from the Chloé Spring–Summer 1994 collection,reception,Chloé SS1994,Karl Lagerfeld / Chloé SS1994,spiral_group,geometric,dress,"Paris, France",48A98133,1994, https://www.youtube.com/watch?v=O3YIZ2PAt6I
